"region","brains.average.rank","final.rank","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","AllometricScaling.PNC20mm","PET.AG","Externopyramidisation","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","regions_ColeAnt12","ColeAnticevicNetPartition","ColeAntNet_name","array_NetGroup","GeneExp_PC1","GeneExp_PC2","GeneExp_PC3","GeneExp_PC4","GeneExp_PC5"
"FST",76.7,64,-3.677573887,1.331422081,0.783696041,62.91054965,1.164936385,-0.122113513,0.365022245,2.530596278,-2.995992205,-13.68927506,"L_FST",2,"Visual2","Transition",-0.662212363895743,0.760767339555664,-0.399799104472705,0.202897283078718,-0.432384210134041
"V3CD",63.65,34,-4.078135837,1.400465973,-0.344997882,66.73651522,1.083950303,0.026406762,0.411511787,2.341945138,-5.926465513,3.705587214,"L_V3CD",2,"Visual2","Sensory",-1.09321476113572,0.754327933008922,-0.17613275936741,-0.376297662256719,-0.132145086989587
"LO3",66.85,42,-4.187124501,1.385907618,-0.03262373,65.70121729,1.133490038,-0.146145846,0.335574027,2.482075593,-6.521492085,4.584548859,"L_LO3",2,"Visual2","Sensory",-1.20287740143438,1.77852769807012,0.198716504638011,-0.0858595673712312,0.346867213515137
"VMV2",45.2,8,-3.952094878,1.36049154,-1.627810714,45.54758294,0.861021648,-0.38278688,0.266794567,2.347320051,-4.254045113,33.17329796,"L_VMV2",2,"Visual2","Sensory",-0.247951461815667,0.33339670083651,0.0701120711227279,1.63179380425509,-0.991891319819037
"31pd",107.7,122,6.013604996,1.326330109,-0.273525188,61.71894427,1.186371242,0.05489966,0.124771469,2.384403459,-5.566466667,34.72041062,"L_31pd",9,"Default","Sensory",-0.182617176682209,0.24832283535586,-0.71307344751566,-1.23705497436849,0.565861155144623
"31a",102,110,3.795319251,1.269515066,0.11283428,72.24241001,0.983800198,0.193301938,0.242151473,2.811913824,-0.435847829,1.154318187,"L_31a",9,"Default","Transition",0.00176466960955092,0.171991048274816,2.0763167984002,0.490295449331267,-0.608798091365364
"VVC",65.1,37,-3.533770178,1.408629054,-0.934876339,55.30107758,0.957603517,-0.600136546,0.405148564,2.953213578,1.746462522,30.07846173,"L_VVC",2,"Visual2","Transition",-0.566715825949412,1.18310742868868,-0.0783876046044384,0.0681248543620752,-2.60644445311619
"25",112.7,130,5.155428263,1.139285529,-0.24892158,57.5224892,0.999977984,-0.11981911,0.178541851,3.018216197,13.54135208,5.599411491,"L_25",9,"Default","Association",1.99670136116652,0.421211025234129,0.583672465108981,0.989597848681807,-1.57989050567067
"s32",117.8,143,5.769977342,1.162505936,0.215129498,59.09151156,1.099788931,0.00221702,0.238471231,2.770885727,10.6519406,10.56063722,"L_s32",9,"Default","Association",1.03157239858736,-2.03460459186464,-0.352421459107791,-0.368146766633912,-1.27533521586807
"pOFC",90,91,1.713749749,1.329373369,-1.00480625,65.27942063,0.849434124,-0.033589439,0.268840412,2.866434645,11.75920589,3.963104862,"L_pOFC",12,"Orbito-Affective","Association",2.00116000303159,0.212214090128,1.05194335069909,-0.702726587355663,-0.777213492235259
"PoI1",93.95,98,-2.91846941,1.21180802,0.448329025,60.44426456,1.079715817,-0.517067062,0.208367224,3.088810432,5.857389294,-19.05877742,"L_PoI1",4,"Cingulo-Opercular","Association",1.14209765570617,2.07493011875714,0.548377798520963,-1.05875165708196,-0.727468842948368
"Ig",60.25,29,-4.458592158,1.355237631,-0.211609697,56.38135109,1.098747653,-0.280549609,0.252850878,2.740413761,-4.126468368,-17.57072187,"L_Ig",3,"Somatomotor","Sensory",0.0475427223075723,0.105748634414524,0.0653780362245329,-0.485992434702613,-0.788918841501132
"FOP5",106.6,121,-0.728036691,1.285888593,1.110126531,61.37558807,1.016782917,0.240194838,0.169795315,2.63713041,0.579515412,8.494760581,"L_FOP5",4,"Cingulo-Opercular","Transition",0.858379509647151,0.78461747265031,0.0130831531444963,0.466945994927774,0.719876129479852
"p10p",131.5,168,5.336611117,1.231982815,0.871258111,71.9496323,1.124150384,0.475460712,0.10748694,2.402629541,-0.080495659,9.375203453,"L_p10p",7,"Frontoparietal","Transition",0.0418718196698522,-0.0273529682155863,-0.582182845124261,-2.61194334743057,0.266439656782279
"p47r",127.7,162,4.414513031,1.224398648,1.996953763,73.79562038,1.054534125,0.565104342,0.183056859,2.470637251,0.664919782,8.494760581,"L_p47r",7,"Frontoparietal","Transition",0.0386451866640364,-0.393296636241333,0.212491885548286,-0.503171241145922,0.19452718160996
"TGv",91,92,1.739691376,1.109979439,0.941369396,0,0.656533633,-0.422950665,0.287618894,3.219452412,9.492470645,1.154318187,"L_TGv",6,"Language","Association",1.0329778405271,-0.638629490739762,0.258135491136224,-0.0147509072222387,-0.978157076481905
"MBelt",65.25,38,-3.694734641,1.565297733,0.727956869,76.16210118,1.071237794,-0.355566556,0.335707071,2.579992833,-7.478037913,-16.90169086,"L_MBelt",8,"Auditory","Sensory",-0.548251966861178,0.564429873799282,-0.175882018028341,0.307795516122318,-0.515448507037635
"LBelt",70.4,55,-3.719646271,1.636360876,0.6675903,75.3906414,0.98918724,-0.239669963,0.255649071,2.546377606,-7.021736357,8.597739515,"L_LBelt",8,"Auditory","Sensory",-0.831210092179323,2.37299147204862,-2.2728901046741,-0.332725248801243,1.10833164836193
"A4",80.9,71,-3.174424076,1.376964225,1.207577054,72.04823804,0.772044339,-0.429051835,0.254046222,3.021421703,-2.110559406,-1.239243146,"L_A4",8,"Auditory","Transition",-0.204879788667868,-0.239915451745866,1.09066051953481,-0.612262310027267,-0.244451912540144
"STSva",117.9,144,5.499971373,1.214705353,1.386545,60.30758635,1.156764294,-0.162907959,0.365629631,2.687176652,6.168448666,25.09704627,"L_STSva",9,"Default","Association",0.35704038383444,0.0745675999985806,-1.72038440190192,0.551880698657562,0.191732156154468
"TE1m",144.6,180,6.189741344,1.233948303,1.721962112,75.75147168,1.159269333,0.167972779,0.160403817,2.946130345,4.893962328,1.154318187,"L_TE1m",9,"Default","Association",0.581510745694913,-0.886122592934831,-0.108248403488778,0.0421644686467179,-0.422621624321957
"PI",91.7,93,-2.418285143,1.143459586,0.137755764,56.81292978,0.999567741,-0.611478992,0.12726249,2.555742351,9.929250959,1.154318187,"L_PI",4,"Cingulo-Opercular","Association",1.43854287750901,0.316288547975928,-1.53782644705272,0.975278442533885,-0.625435209255228
"a32pr",116.8,140,0.653818695,1.186347634,1.220728079,52.14133396,1.042202854,0.28204926,0.166255,2.927971938,7.240792347,-0.694379382,"L_a32pr",4,"Cingulo-Opercular","Association",1.9337182167419,-0.0573980884869506,-1.55763594377874,-1.2252741392309,-0.283610187229948
"p24",119,148,0.449938149,1.060037589,1.035542241,58.75703905,1.01939444,-0.190734075,0.146750758,3.182908375,15.79045151,-0.664599996,"L_p24",4,"Cingulo-Opercular","Association",1.40020936304626,-0.532523793167992,-1.43586613056165,0.333776832907203,0.377246942066839
